Завантаження даних за 365 днів...
=== ПОЧАТОК GRID SEARCH ===
Вікно: 22 | LR: 0.0008 --> Train Loss: 0.012158 | Val Loss: 0.009535
Вікно: 22 | LR: 0.0011 --> Train Loss: 0.013311 | Val Loss: 0.010334
Вікно: 22 | LR: 0.0015 --> Train Loss: 0.010150 | Val Loss: 0.009232
Вікно: 22 | LR: 0.0018 --> Train Loss: 0.011150 | Val Loss: 0.009473
Вікно: 22 | LR: 0.0021 --> Train Loss: 0.009616 | Val Loss: 0.010251
Вікно: 22 | LR: 0.0025 --> Train Loss: 0.009886 | Val Loss: 0.011003
Вікно: 22 | LR: 0.0028 --> Train Loss: 0.009212 | Val Loss: 0.009804
Вікно: 22 | LR: 0.0032 --> Train Loss: 0.007310 | Val Loss: 0.008707
Вікно: 22 | LR: 0.0035 --> Train Loss: 0.009086 | Val Loss: 0.009594
Вікно: 22 | LR: 0.0039 --> Train Loss: 0.008221 | Val Loss: 0.009537
Вікно: 22 | LR: 0.0042 --> Train Loss: 0.007667 | Val Loss: 0.009215
Вікно: 22 | LR: 0.0045 --> Train Loss: 0.008901 | Val Loss: 0.009083
Вікно: 22 | LR: 0.0049 --> Train Loss: 0.006804 | Val Loss: 0.010317
Вікно: 22 | LR: 0.0052 --> Train Loss: 0.007391 | Val Loss: 0.008778
Вікно: 22 | LR: 0.0056 --> Train Loss: 0.007440 | Val Loss: 0.009851
Вікно: 22 | LR: 0.0059 --> Train Loss: 0.008327 | Val Loss: 0.009007
Вікно: 22 | LR: 0.0062 --> Train Loss: 0.004822 | Val Loss: 0.008959
Вікно: 22 | LR: 0.0066 --> Train Loss: 0.004015 | Val Loss: 0.004504
Вікно: 22 | LR: 0.0069 --> Train Loss: 0.009161 | Val Loss: 0.010365
Вікно: 22 | LR: 0.0073 --> Train Loss: 0.006440 | Val Loss: 0.007591
Вікно: 22 | LR: 0.0076 --> Train Loss: 0.005788 | Val Loss: 0.008066
Вікно: 22 | LR: 0.0080 --> Train Loss: 0.007664 | Val Loss: 0.011332
Вікно: 22 | LR: 0.0083 --> Train Loss: 0.005884 | Val Loss: 0.007493
Вікно: 22 | LR: 0.0086 --> Train Loss: 0.006539 | Val Loss: 0.007585
Вікно: 22 | LR: 0.0090 --> Train Loss: 0.006884 | Val Loss: 0.008824
Вікно: 22 | LR: 0.0093 --> Train Loss: 0.007404 | Val Loss: 0.008157
Вікно: 22 | LR: 0.0097 --> Train Loss: 0.006206 | Val Loss: 0.007526
Вікно: 22 | LR: 0.0100 --> Train Loss: 0.005755 | Val Loss: 0.009327
Вікно: 25 | LR: 0.0001 --> Train Loss: 0.142942 | Val Loss: 0.013643
Вікно: 25 | LR: 0.0004 --> Train Loss: 0.009282 | Val Loss: 0.010888
Вікно: 25 | LR: 0.0008 --> Train Loss: 0.009375 | Val Loss: 0.009268
Вікно: 25 | LR: 0.0011 --> Train Loss: 0.011008 | Val Loss: 0.009636
Вікно: 25 | LR: 0.0015 --> Train Loss: 0.009083 | Val Loss: 0.011332
Вікно: 25 | LR: 0.0018 --> Train Loss: 0.011032 | Val Loss: 0.010134
Вікно: 25 | LR: 0.0021 --> Train Loss: 0.009419 | Val Loss: 0.010764
Вікно: 25 | LR: 0.0025 --> Train Loss: 0.011109 | Val Loss: 0.009641
Вікно: 25 | LR: 0.0028 --> Train Loss: 0.006189 | Val Loss: 0.011143
Вікно: 25 | LR: 0.0032 --> Train Loss: 0.008727 | Val Loss: 0.009455
Вікно: 25 | LR: 0.0035 --> Train Loss: 0.009559 | Val Loss: 0.009349
Вікно: 25 | LR: 0.0039 --> Train Loss: 0.007845 | Val Loss: 0.009622
Вікно: 25 | LR: 0.0042 --> Train Loss: 0.007989 | Val Loss: 0.009641
Вікно: 25 | LR: 0.0045 --> Train Loss: 0.007424 | Val Loss: 0.011528
Вікно: 25 | LR: 0.0049 --> Train Loss: 0.008079 | Val Loss: 0.009056
Вікно: 25 | LR: 0.0052 --> Train Loss: 0.007206 | Val Loss: 0.009832
Вікно: 25 | LR: 0.0056 --> Train Loss: 0.005483 | Val Loss: 0.011335
Вікно: 25 | LR: 0.0059 --> Train Loss: 0.005995 | Val Loss: 0.010258
Вікно: 25 | LR: 0.0062 --> Train Loss: 0.009317 | Val Loss: 0.010680
Вікно: 25 | LR: 0.0066 --> Train Loss: 0.006503 | Val Loss: 0.009178
Вікно: 25 | LR: 0.0069 --> Train Loss: 0.006705 | Val Loss: 0.010111
Вікно: 25 | LR: 0.0073 --> Train Loss: 0.007250 | Val Loss: 0.009493
Вікно: 25 | LR: 0.0076 --> Train Loss: 0.005741 | Val Loss: 0.007274
Вікно: 25 | LR: 0.0080 --> Train Loss: 0.007679 | Val Loss: 0.008688
Вікно: 25 | LR: 0.0083 --> Train Loss: 0.007253 | Val Loss: 0.008706
Вікно: 25 | LR: 0.0086 --> Train Loss: 0.005133 | Val Loss: 0.010396
Вікно: 25 | LR: 0.0090 --> Train Loss: 0.006724 | Val Loss: 0.009194
Вікно: 25 | LR: 0.0093 --> Train Loss: 0.007994 | Val Loss: 0.009458
Вікно: 25 | LR: 0.0097 --> Train Loss: 0.006727 | Val Loss: 0.010345
Вікно: 25 | LR: 0.0100 --> Train Loss: 0.006301 | Val Loss: 0.007714
Вікно: 27 | LR: 0.0001 --> Train Loss: 0.305491 | Val Loss: 0.030052
Вікно: 27 | LR: 0.0004 --> Train Loss: 0.011378 | Val Loss: 0.014102
